X,Y,Time Stamp
X,Y,Time Stamp
X,Y,Time Stamp
X,Y,Time Stamp
311.0,157.0,2018-11-04 17:16:34
194.5,253.5,2018-11-04 17:16:34
311.5,150.5,2018-11-04 17:16:34
196.0,249.0,2018-11-04 17:16:34
310.0,152.0,2018-11-04 17:16:34
195.0,251.0,2018-11-04 17:16:34
308.5,154.5,2018-11-04 17:16:34
196.0,249.0,2018-11-04 17:16:34
310.0,152.0,2018-11-04 17:16:35
198.0,253.5,2018-11-04 17:16:35
312.0,156.0,2018-11-04 17:16:35
199.5,253.5,2018-11-04 17:16:35
312.5,152.0,2018-11-04 17:16:35
200.5,253.5,2018-11-04 17:16:35
314.0,156.0,2018-11-04 17:16:35
199.5,250.5,2018-11-04 17:16:35
315.0,150.5,2018-11-04 17:16:35
200.5,118.5,2018-11-04 17:16:35
312.5,153.5,2018-11-04 17:16:35
200.5,117.5,2018-11-04 17:16:35
313.0,154.0,2018-11-04 17:16:35
198.5,248.0,2018-11-04 17:16:35
313.5,151.0,2018-11-04 17:16:35
199.0,251.0,2018-11-04 17:16:35
317.0,155.0,2018-11-04 17:16:36
202.5,246.5,2018-11-04 17:16:36
319.5,157.0,2018-11-04 17:16:36
206.0,121.0,2018-11-04 17:16:36
320.5,154.5,2018-11-04 17:16:36
207.5,246.5,2018-11-04 17:16:36
322.0,156.0,2018-11-04 17:16:36
207.5,250.0,2018-11-04 17:16:36
319.5,158.5,2018-11-04 17:16:36
206.0,253.0,2018-11-04 17:16:36
318.5,158.5,2018-11-04 17:16:36
205.5,257.0,2018-11-04 17:16:36
317.0,159.5,2018-11-04 17:16:36
204.0,257.0,2018-11-04 17:16:36
318.5,151.0,2018-11-04 17:16:36
204.0,253.5,2018-11-04 17:16:36
318.5,153.0,2018-11-04 17:16:36
201.0,249.0,2018-11-04 17:16:36
316.0,160.5,2018-11-04 17:16:37
200.5,256.0,2018-11-04 17:16:37
313.0,164.5,2018-11-04 17:16:37
199.5,258.0,2018-11-04 17:16:37
313.0,165.5,2018-11-04 17:16:37
199.5,264.0,2018-11-04 17:16:37
314.5,158.5,2018-11-04 17:16:37
200.0,262.0,2018-11-04 17:16:37
316.0,156.0,2018-11-04 17:16:37
201.5,256.5,2018-11-04 17:16:37
318.0,163.0,2018-11-04 17:16:37
204.5,255.5,2018-11-04 17:16:37
317.0,160.5,2018-11-04 17:16:37
205.5,258.0,2018-11-04 17:16:37
320.5,165.5,2018-11-04 17:16:37
208.0,258.0,2018-11-04 17:16:37
325.5,153.0,2018-11-04 17:16:38
209.5,251.5,2018-11-04 17:16:38
324.0,155.5,2018-11-04 17:16:38
207.5,262.0,2018-11-04 17:16:38
322.5,155.5,2018-11-04 17:16:38
205.5,262.0,2018-11-04 17:16:38
317.0,156.0,2018-11-04 17:16:38
202.5,250.5,2018-11-04 17:16:38
316.0,158.5,2018-11-04 17:16:38
200.5,254.5,2018-11-04 17:16:38
315.5,160.0,2018-11-04 17:16:38
199.5,250.5,2018-11-04 17:16:38
313.0,162.0,2018-11-04 17:16:38
198.5,250.5,2018-11-04 17:16:38
315.0,153.0,2018-11-04 17:16:38
198.5,250.5,2018-11-04 17:16:38
313.5,154.5,2018-11-04 17:16:38
199.5,254.5,2018-11-04 17:16:38
313.5,162.0,2018-11-04 17:16:39
202.5,250.5,2018-11-04 17:16:39
319.5,159.5,2018-11-04 17:16:39
206.0,256.5,2018-11-04 17:16:39
322.0,159.5,2018-11-04 17:16:39
208.5,262.0,2018-11-04 17:16:39
327.5,155.5,2018-11-04 17:16:39
213.5,259.5,2018-11-04 17:16:39
328.0,165.5,2018-11-04 17:16:39
216.0,260.5,2018-11-04 17:16:39
329.5,162.0,2018-11-04 17:16:39
215.0,259.5,2018-11-04 17:16:39
324.5,164.5,2018-11-04 17:16:39
212.5,256.5,2018-11-04 17:16:39
323.5,168.0,2018-11-04 17:16:39
211.5,265.5,2018-11-04 17:16:39
321.0,165.5,2018-11-04 17:16:39
208.5,264.0,2018-11-04 17:16:39
320.5,159.5,2018-11-04 17:16:40
207.5,263.0,2018-11-04 17:16:40
319.5,158.5,2018-11-04 17:16:40
206.5,262.0,2018-11-04 17:16:40
319.5,157.0,2018-11-04 17:16:40
204.5,256.5,2018-11-04 17:16:40
319.5,159.5,2018-11-04 17:16:40
205.5,259.5,2018-11-04 17:16:40
317.0,153.5,2018-11-04 17:16:40
202.5,250.5,2018-11-04 17:16:40
317.0,151.0,2018-11-04 17:16:40
202.5,252.0,2018-11-04 17:16:40
318.0,158.5,2018-11-04 17:16:40
204.0,251.0,2018-11-04 17:16:40
314.5,156.0,2018-11-04 17:16:40
202.5,245.5,2018-11-04 17:16:40
316.0,147.5,2018-11-04 17:16:41
201.5,252.0,2018-11-04 17:16:41
313.5,146.0,2018-11-04 17:16:41
199.5,251.0,2018-11-04 17:16:41
308.5,146.0,2018-11-04 17:16:41
192.5,243.0,2018-11-04 17:16:41
303.5,145.0,2018-11-04 17:16:41
189.5,244.0,2018-11-04 17:16:41
300.5,152.0,2018-11-04 17:16:41
186.0,244.0,2018-11-04 17:16:41
299.5,150.5,2018-11-04 17:16:41
185.5,239.0,2018-11-04 17:16:41
299.5,150.5,2018-11-04 17:16:41
184.5,247.5,2018-11-04 17:16:41
300.5,153.0,2018-11-04 17:16:41
188.5,112.5,2018-11-04 17:16:41
303.0,150.5,2018-11-04 17:16:41
189.5,244.5,2018-11-04 17:16:41
307.5,150.5,2018-11-04 17:16:42
194.5,243.0,2018-11-04 17:16:42
311.0,148.5,2018-11-04 17:16:42
198.0,247.5,2018-11-04 17:16:42
312.0,148.0,2018-11-04 17:16:42
199.5,244.0,2018-11-04 17:16:42
310.0,152.0,2018-11-04 17:16:42
196.5,244.5,2018-11-04 17:16:42
309.0,150.5,2018-11-04 17:16:42
196.0,244.0,2018-11-04 17:16:42
311.0,142.5,2018-11-04 17:16:42
196.5,117.5,2018-11-04 17:16:42
310.0,144.0,2018-11-04 17:16:42
196.0,241.5,2018-11-04 17:16:42
310.0,153.0,2018-11-04 17:16:42
197.5,250.5,2018-11-04 17:16:42
311.0,144.0,2018-11-04 17:16:42
196.5,245.0,2018-11-04 17:16:42
311.0,152.0,2018-11-04 17:16:43
198.0,246.0,2018-11-04 17:16:43
313.5,154.5,2018-11-04 17:16:43
204.0,248.5,2018-11-04 17:16:43
320.5,145.0,2018-11-04 17:16:43
206.5,246.0,2018-11-04 17:16:43
318.5,156.5,2018-11-04 17:16:43
204.0,253.5,2018-11-04 17:16:43
318.0,153.0,2018-11-04 17:16:43
204.0,253.5,2018-11-04 17:16:43
318.0,153.0,2018-11-04 17:16:43
203.0,249.0,2018-11-04 17:16:43
317.0,153.0,2018-11-04 17:16:43
